iter	Accuracy	Logloss
662	0.9556962025	0.16936394756663	0.9556962025	0.16902103966664	0.9556962025	0.1689398066665	0.9556962025	0.16880500666666	0.9556962025	0.1687700667	667	0.9556962025	0.168755668	0668	0.9556962025	0.16870669	0.669	0.9556962025	0.1686670	0.9670	0.9556962025	0.168671	0.97671	0.9556962025	0.16672	0.970672	0.9556962025	0.1673	0.9704673	0.9556962025	0.674	0.97257674	0.9556962025	0.675	0.97257675	0.9556962025	0.676	0.97257676	0.9556962025	0.677	0.97257677	0.9556962025	0.678	0.97257678	0.9556962025	0.679	0.97257679	0.9556962025	0.680	0.97257680	0.9556962025	0.681	0.97257681	0.9556962025	0.682	0.97257682	0.9556962025	0.683	0.97257683	0.9556962025	0.684	0.97046684	0.9556962025	0685	0.970464685	0.9556962025	686	0.9704641686	0.9556962025687	0.97046413687	0.95569620688	0.970464135	688	0.9556962689	0.970464135	0689	0.955696690	0.970464135	0.690	0.95569691	0.9725738397	0.691	0.955692	0.9725738397	0.14692	0.955693	0.9725738397	0.14693	0.957694	0.9725738397	0.14694	0.957695	0.9725738397	0.14695	0.955696	0.9725738397	0.14696	0.955697	0.9725738397	0.14697	0.957698	0.9725738397	0.14698	0.95699	0.9725738397	0.145699	0.95700	0.9725738397	0.145700	0.95701	0.9725738397	0.145701	0.95702	0.9725738397	0.145702	0.95703	0.9725738397	0.145703	0.95704	0.9725738397	0.144704	0.95705	0.9725738397	0.144705	0.95706	0.9725738397	0.144706	0.707	0.9725738397	0.14483707	0.708	0.9725738397	0.14472708	0.709	0.9725738397	0.14458709	0.710	0.9725738397	0.14420710	0.711	0.9725738397	0.14407711	0.712	0.9725738397	0.14391712	0.713	0.9725738397	0.14379713	0.714	0.9725738397	0.14377714	0715	0.9725738397	0.143770715	0716	0.9725738397	0.143671716	0717	0.9725738397	0.143504717	0718	0.9725738397	0.143324718	0719	0.9725738397	0.143276719	0720	0.9725738397	0.143057720	0721	0.9725738397	0.142942721	0722	0.9725738397	0.14275722	0.723	0.9725738397	0.142723	0.95724	0.9725738397	0.142724	0.9725	0.9725738397	0.1421725	0726	0.9725738397	0.142056726	0727	0.9725738397	0.14189727	0.728	0.9725738397	0.14149728	0.729	0.9725738397	0.14099729	0.730	0.9725738397	0.14091730	0.731	0.9725738397	0.1405731	0.9732	0.9725738397	0.140732	0.95733	0.9725738397	0.140733	0.95734	0.9725738397	0.140734	0.95735	0.9725738397	0.140735	0.95736	0.9725738397	0.139736	0.95737	0.9725738397	0.139737	0.95738	0.9725738397	0.139738	0.95739	0.9725738397	0.139739	0.9740	0.9725738397	0.139740	0.95741	0.9725738397	0.138741	0.95742	0.9725738397	0.138742	0.95743	0.9725738397	0.138743	0.95744	0.9725738397	0.138744	0.9745	0.9725738397	0.1379745	0.9746	0.9725738397	0.1377746	0.9747	0.9725738397	0.1376747	0.9748	0.9725738397	0.1374748	0.9749	0.9725738397	0.1374749	0.9750	0.9725738397	0.1373750	0.9751	0.9725738397	0.1368751	0.9752	0.9725738397	0.1367752	0.9753	0.9725738397	0.13753	0.959754	0.9725738397	754	0.9599156755	0.9725738397	755	0.9599156756	0.9725738397	756	0.9599156757	0.9725738397	757	0.9599156758	0.9725738397	758	0.9599156759	0.9725738397	759	0.9599156760	0.9725738397	760	0.9620253761	0.9725738397	761	0.9599156762	0.9725738397	762	0.9620253763	0.9725738397	763	0.962025764	0.9725738397	0764	0.962025765	0.9725738397	0765	0.959915766	0.9725738397	0766	0.959915767	0.9725738397	767	0.9620253768	0.9725738397	768	0.9620253769	0.9725738397	769	0.9620253770	0.972573839770	0.962025316771	0.972573839771	0.962025316772	0.972573839772	0.962025316773	0.972573839773	0.962025316774	0.972573839774	0.962025316775	0.972573839775	0.962025316776	0.972573839776	0.962025316777	0.972573839777	0.962025316778	0.972573839778	0.962025316779	0.972573839779	0.962025316780	0.972573839780	0.962025316781	0.972573839781	0.962025316782	0.97257383782	0.9620253165783	0.97257383783	0.9620253165784	0.97257383784	0.96202531785	0.9725738397785	0.96202531786	0.9725738397786	0.96202531787	0.9725738397787	0.96202531788	0.9725738397788	0.96413502789	0.972573839789	0.964135021790	0.974683544790	0.964135021791	0.974683544791	0.96413502792	0.9746835443792	0.96413502793	0.9746835443793	0.96413502794	0.9746835443794	0.96413502795	0.9746835443795	0.96413502796	0.9746835443796	0.96413502797	0.974683544797	0.964135021798	0.974683544798	0.964135021799	0.974683544799	0.96413502800	0.9746835443800	0.96413502801	0.9746835443801	0.96413502802	0.9746835443802	0.96413502803	0.9746835443803	0.96413502804	0.974683544804	0.96413502805	0.9746835443805	0.96413502806	0.9746835443806	0.96413502807	0.9746835443807	0.96413502808	0.9746835443808	0.9641350809	0.9746835443	809	0.9641350810	0.9746835443	810	0.9641350811	0.9746835443811	0.96413502812	0.9767932489812	0.96413502813	0.9767932489813	0.96413502814	0.9746835443814	0.96413502815	0.9767932489815	0.96413502816	0.9767932489816	0.96413502817	0.97679324817	0.9641350211818	0.97679324818	0.9641350211819	0.97890295819	0.9641350211820	0.97890295820	0.9641350211821	0.97890295821	0.9641350211822	0.97890295822	0.9641350211823	0.97890295823	0.9641350211824	0.97890295824	0.9641350211825	0.97679324825	0.964135021826	0.978902953826	0.964135021827	0.978902953827	0.964135021828	0.9767932828	0.9641350211	829	0.9767932829	0.9641350211	830	0.976793830	0.9641350211	0831	0.976793831	0.9641350211	0832	0.976793832	0.9641350211	0833	0.97679833	0.9641350211	0834	0.97679834	0.9641350211	0.835	0.97679835	0.9641350211	0.836	0.97679836	0.9641350211	0.837	0.97890837	0.9641350211	0.838	0.97890838	0.9641350211	0.839	0.97890839	0.9641350211	0.840	0.97890840	0.9641350211	0.841	0.97890841	0.9641350211	0.842	0.97890842	0.9641350211	0.843	0.97890843	0.9641350211	0.844	0.97890844	0.9641350211	0.845	0.97890845	0.9641350211	0.846	0.97890846	0.9641350211	0847	0.9789847	0.9641350211	0.1848	0.9789848	0.9641350211	0.1849	0.9789849	0.9641350211	0.1850	0.9789850	0.9641350211	0.1851	0.9789851	0.9641350211	0.1852	0.9789852	0.9641350211	0.1853	0.9789853	0.9683544304	0.1854	0.9789854	0.9662447257	0.855	0.97890855	0.9662447257	0.856	0.97890856	0.9662447257	0.857	0.97890857	0.9683544304	0.858	0.97679858	0.9683544304	0.859	0.97679859	0.9683544304	0.860	0.97679860	0.9683544304	0.861	0.97679861	0.9683544304	0.862	0.97679862	0.9683544304	0.863	0.97679863	0.9683544304	0.864	0.97890864	0.9683544304	0.865	0.97890865	0.970464135	0.1866	0.9789866	0.970464135	0.1867	0.9789867	0.970464135	0.13868	0.97868	0.970464135	0.1332869	0.9869	0.970464135	0.13305870	0.870	0.970464135	0.132936871	0871	0.970464135	0.1329061872872	0.970464135	0.13274638873873	0.970464135	0.1327338938874	0.970464135	0.1326975214
875	0.970464135	0.1326675126
876	0.970464135	0.1326452368
877	0.970464135	0.1325618681
878	0.970464135	0.13238559
879	0.970464135	0.1322910832
880	0.970464135	0.1320010982
881	0.970464135	0.1318312845
882	0.970464135	0.1316999349
883	0.970464135	0.1316584833
884	0.970464135	0.1315419545
885	0.970464135	0.1314975887
886	0.970464135	0.1313641707
887	0.970464135	0.1312726279
888	0.970464135	0.1310580614
889	0.970464135	0.1309560665
890	0.970464135	0.1308824495
891	0.970464135	0.1307769429
892	0.970464135	0.1307212603
893	0.970464135	0.1303137971
894	0.970464135	0.1299256804
895	0.970464135	0.1298663428
896	0.970464135	0.1297462741
897	0.970464135	0.1295322293
898	0.970464135	0.1294726628
899	0.970464135	0.1293321003
900	0.9725738397	0.1291539135
901	0.970464135	0.1289880906
902	0.9725738397	0.1289577957
903	0.970464135	0.1288755275
904	0.9725738397	0.1286800126
905	0.9725738397	0.1286519204
906	0.9725738397	0.1285147404
907	0.970464135	0.128185527
908	0.9725738397	0.1281150244
909	0.9725738397	0.1280353374
910	0.9725738397	0.1280102925
911	0.9725738397	0.1276991262
912	0.9725738397	0.1275887145
913	0.9725738397	0.1275483816
914	0.9725738397	0.1275341936
915	0.9725738397	0.1273636435
916	0.9725738397	0.1272722817
917	0.9725738397	0.127249358
918	0.9725738397	0.1271319822
919	0.9725738397	0.1267398445
920	0.9725738397	0.126613222
921	0.9725738397	0.1264968799
922	0.9725738397	0.1264435553
923	0.9725738397	0.1260619483
924	0.9725738397	0.1259944437
925	0.9725738397	0.1259425432
926	0.9725738397	0.1259134136
927	0.9725738397	0.1258593808
928	0.9725738397	0.1254487474
929	0.9725738397	0.1253755478
930	0.9725738397	0.125268704
931	0.9725738397	0.1251444897
932	0.9725738397	0.1251357772
933	0.9725738397	0.1250956388
934	0.9725738397	0.1248879859
935	0.9725738397	0.124790426
936	0.9725738397	0.124696723
937	0.9725738397	0.1243282536
938	0.9725738397	0.124149773
939	0.9725738397	0.1241254124
940	0.9725738397	0.1240282511
941	0.9725738397	0.1238812913
942	0.9725738397	0.1237930491
943	0.9725738397	0.1234697133
944	0.9725738397	0.1234460417
945	0.9725738397	0.1234226078
946	0.9725738397	0.1233529848
947	0.9725738397	0.1231079663
948	0.9725738397	0.1229460549
949	0.9725738397	0.1227731956
950	0.9725738397	0.1226911076
951	0.9725738397	0.1225403596
952	0.9725738397	0.1224651414
953	0.9725738397	0.1223338737
954	0.9725738397	0.1222228147
955	0.9725738397	0.1221084375
956	0.9725738397	0.1219530416
957	0.9725738397	0.1218541812
958	0.9725738397	0.1216751434
959	0.9725738397	0.121610172
960	0.9725738397	0.121479316
961	0.9746835443	0.1212714636
962	0.9746835443	0.1212241777
963	0.9746835443	0.12116633759964	0.9746835443	0.12112703096965	0.9746835443	0.12086631965966	0.9746835443	0.120808966	0967	0.9746835443	0.12067967	0.968	0.9746835443	0.120968	0.97969	0.9746835443	0.12969	0.974970	0.9746835443	0970	0.974789971	0.976793248971	0.974789916972	0.97679324972	0.974789916	973	0.9767932973	0.974789916	974	0.9767932974	0.974789916	0975	0.976793975	0.974789916	0.976	0.97679976	0.974789916	0.1977	0.9767977	0.974789916	0.10978	0.976978	0.974789916	0.108979	0.97979	0.974789916	0.1084980	0.9980	0.974789916	0.10842981	0.981	0.974789916	0.108349982	0982	0.974789916	0.1081579983	983	0.974789916	0.10814587984984	0.974789916	0.10800632898985	0.974789916	0.10794617229986	0.974789916	0.1079410004
987	0.974789916	0.1078806781
988	0.974789916	0.107614763
989	0.974789916	0.1072479864
990	0.974789916	0.1071057527
991	0.974789916	0.1067092728
992	0.974789916	0.1066358876
993	0.974789916	0.1065654309
994	0.974789916	0.1065099909
995	0.974789916	0.1064968591
996	0.974789916	0.1064829665
997	0.974789916	0.1063892405
998	0.974789916	0.1063054711
999	0.974789916	0.1062098463
	0.1166680473
0963
999	0.9852320675	0.1014347464
